_id,Waktu,Harga Penutupan (USD)
6746f698c8fc5b6acaad3ffb,2024-11-21 1:40,94926.15
6746f698c8fc5b6acaad3ffa,2024-11-21 1:50,94812.46
6746f698c8fc5b6acaad3ff9,2024-11-21 2:00,94589.19
6746f698c8fc5b6acaad3ff8,2024-11-21 2:10,94688.87
6746f698c8fc5b6acaad3ff7,2024-11-21 2:20,94311.36
6746f698c8fc5b6acaad3ff6,2024-11-21 2:30,94277.87
6746f698c8fc5b6acaad3ff5,2024-11-21 2:40,94486.26
6746f698c8fc5b6acaad3ff4,2024-11-21 2:50,94521.12
6746f698c8fc5b6acaad3ff3,2024-11-21 3:00,94946.34
6746f698c8fc5b6acaad3ff2,2024-11-21 3:10,95011.07
6746f698c8fc5b6acaad3ff1,2024-11-21 3:20,95773.57
6746f698c8fc5b6acaad3ff0,2024-11-21 3:30,95739.67
6746f698c8fc5b6acaad3fef,2024-11-21 3:40,95884.99
6746f698c8fc5b6acaad3fee,2024-11-21 3:50,95911.3
6746f698c8fc5b6acaad3fed,2024-11-21 4:00,96630.42
6746f698c8fc5b6acaad3fec,2024-11-21 4:10,96689.23
6746f698c8fc5b6acaad3feb,2024-11-21 4:20,96525.89
6746f698c8fc5b6acaad3fea,2024-11-21 4:30,96642.34
6746f698c8fc5b6acaad3fe9,2024-11-21 4:40,96882.91
6746f698c8fc5b6acaad3fe8,2024-11-21 4:50,97643.05
6746f698c8fc5b6acaad3fe7,2024-11-21 5:00,97505.57
6746f698c8fc5b6acaad3fe6,2024-11-21 5:10,97798.12
6746f698c8fc5b6acaad3fe5,2024-11-21 5:20,97769.87
6746f698c8fc5b6acaad3fe4,2024-11-21 5:30,97597.12
6746f698c8fc5b6acaad3fe3,2024-11-21 5:40,97348.17
6746f698c8fc5b6acaad3fe2,2024-11-21 5:50,97397.85
6746f698c8fc5b6acaad3fe1,2024-11-21 6:00,97184.29
6746f698c8fc5b6acaad3fe0,2024-11-21 6:10,96978.77
6746f698c8fc5b6acaad3fdf,2024-11-21 6:20,97160
6746f698c8fc5b6acaad3fde,2024-11-21 6:30,97340.09
6746f698c8fc5b6acaad3fdd,2024-11-21 6:40,97181.73
6746f698c8fc5b6acaad3fdc,2024-11-21 6:50,97066.19
6746f698c8fc5b6acaad3fdb,2024-11-21 7:00,97168.51
6746f698c8fc5b6acaad3fda,2024-11-21 7:10,97251.66
6746f698c8fc5b6acaad3fd9,2024-11-21 7:20,97178.7
6746f698c8fc5b6acaad3fd8,2024-11-21 7:30,97206.22
6746f698c8fc5b6acaad3fd7,2024-11-21 7:40,97102.1
6746f698c8fc5b6acaad3fd6,2024-11-21 7:50,96976.33
6746f698c8fc5b6acaad3fd5,2024-11-21 8:00,97026.07
6746f698c8fc5b6acaad3fd4,2024-11-21 8:10,97070.23
6746f698c8fc5b6acaad3fd3,2024-11-21 8:20,96919.48
6746f698c8fc5b6acaad3fd2,2024-11-21 8:30,96796.51
6746f698c8fc5b6acaad3fd1,2024-11-21 8:40,96994.92
6746f698c8fc5b6acaad3fd0,2024-11-21 8:50,97150.01
6746f698c8fc5b6acaad3fcf,2024-11-21 9:00,97461.58
6746f698c8fc5b6acaad3fce,2024-11-21 9:10,97550.18
6746f698c8fc5b6acaad3fcd,2024-11-21 9:20,97463.35
6746f698c8fc5b6acaad3fcc,2024-11-21 9:30,97423.62
6746f698c8fc5b6acaad3fcb,2024-11-21 9:40,97540.74
6746f698c8fc5b6acaad3fca,2024-11-21 9:50,97642.55
6746f698c8fc5b6acaad3fc9,2024-11-21 10:00,97568.26
6746f698c8fc5b6acaad3fc8,2024-11-21 10:10,97367.08
6746f698c8fc5b6acaad3fc7,2024-11-21 10:20,97555.16
6746f698c8fc5b6acaad3fc6,2024-11-21 10:30,97634.88
6746f698c8fc5b6acaad3fc5,2024-11-21 10:40,97591.44
6746f698c8fc5b6acaad3fc4,2024-11-21 10:50,97741.89
6746f698c8fc5b6acaad3fc3,2024-11-21 11:00,98340.21
6746f698c8fc5b6acaad3fc2,2024-11-21 11:10,98149.29
6746f698c8fc5b6acaad3fc1,2024-11-21 11:20,98030.73
6746f698c8fc5b6acaad3fc0,2024-11-21 11:30,97803.94
6746f698c8fc5b6acaad3fbf,2024-11-21 11:40,98012.41
6746f698c8fc5b6acaad3fbe,2024-11-21 11:50,97992.92
6746f698c8fc5b6acaad3fbd,2024-11-21 12:00,98027.74
6746f698c8fc5b6acaad3fbc,2024-11-21 12:10,97788.62
6746f698c8fc5b6acaad3fbb,2024-11-21 12:20,97963.54
6746f698c8fc5b6acaad3fba,2024-11-21 12:30,97959.99
6746f698c8fc5b6acaad3fb9,2024-11-21 12:40,97761.82
6746f698c8fc5b6acaad3fb8,2024-11-21 12:50,97325.66
6746f698c8fc5b6acaad3fb7,2024-11-21 13:00,97485.36
6746f698c8fc5b6acaad3fb6,2024-11-21 13:10,97383.09
6746f698c8fc5b6acaad3fb5,2024-11-21 13:20,97159.34
6746f698c8fc5b6acaad3fb4,2024-11-21 13:30,97607.25
6746f698c8fc5b6acaad3fb3,2024-11-21 13:40,97557.25
6746f698c8fc5b6acaad3fb2,2024-11-21 13:50,97570.32
6746f698c8fc5b6acaad3fb1,2024-11-21 14:00,97359.45
6746f698c8fc5b6acaad3fb0,2024-11-21 14:10,97560.42
6746f698c8fc5b6acaad3faf,2024-11-21 14:20,97319.18
6746f698c8fc5b6acaad3fae,2024-11-21 14:30,96632.43
6746f698c8fc5b6acaad3fad,2024-11-21 14:40,97620
6746f698c8fc5b6acaad3fac,2024-11-21 14:50,97077.77
6746f698c8fc5b6acaad3fab,2024-11-21 15:00,96710.35
6746f698c8fc5b6acaad3faa,2024-11-21 15:10,97065.21
6746f698c8fc5b6acaad3fa9,2024-11-21 15:20,96198.3
6746f698c8fc5b6acaad3fa8,2024-11-21 15:30,95763.18
6746f698c8fc5b6acaad3fa7,2024-11-21 15:40,96547.38
6746f698c8fc5b6acaad3fa6,2024-11-21 15:50,96704.67
6746f698c8fc5b6acaad3fa5,2024-11-21 16:00,96638.12
